review,class
"
      Fun to listen to him read the book and the NW.",positive
"
      Loved it. Great read!",positive
"
      Review to come",positive
"
      احسه مبالغ بالقصص شوي ؟",positive
"
      Finally. <br /><br />I've been searching for this book for 15 years.",positive
"
      3.75",positive
"
      3/20/2016",positive
"
      I read John Haywood's Nonfiction book Viking the Norse warrior's manual. This book tells you how to be a good Viking warrior by telling how to act at feast where to sit and what good qualities to look for in your warband leader. The book tells you how Viking men and children train. People who are...",positive
"
      If you speak English, read it now. Si habláis español, esperad a la versión en español. ;)",positive
"
      Different than what I had expected. I enjoyed it, a different twist than a shifter type paranormal romance.",positive
"
      ***** ANOTHER WINNER!<br /><br />The fourth book in the Rolling Thunder Series, “Gunnin’ For You,” starts out with a bang––sexually, and as it turns out, metaphorically as well. It’s a great portrayal of a man’s discomfort with empty sex and his unconscious need for something deeper. And what that scene does...",positive
"
      that wonderful combination of a window into deeply personal emotions yet inviting enough to allow universal enrichment. <br /><br />sensitive to emotions of glancing.",positive
"
      <strong>The suspense increases!</strong><br /><br />I'm a huge fan of Colleen Coble, and have read nearly all of her books. This latest one is more suspenseful than ever. I was guessing all through the storyline and had several surprises at the end. Delightful characters, with secrets of their past, but overcoming those obst...",positive
"
      An 'interesting' look at what it's like when friends become family, even at the expense of family. I liked her characters and her writing style a lot, very enjoyable find.",positive
"
      Jenson and Mia take you on a journey full of anger, hurt, and love. Another great book that I became addicted to and couldn't put down (unless I had to)!! There were times when my heart felt like it was literally breaking for these characters. How one incident changed their lives forever. And God...",positive
"
      <strong>Love the storyline</strong><br /><br />True love will prevail in Five Coffees by Author Cathy Jackson! An endearing tale that shows the reader it doesn't matter who you are in life as long as you stay true to yourself and believe in love your Prince will ultimately find a way to you!",positive
"
      Lake of Dreams by Linda Howard is a scary at times, suspenseful, and passionate read. I really enjoyed this novella, and felt that the length was perfect for the story being told.<br /><br />Linda's descriptions of the main characters, especially how Thea sees Richard brought them vividly to life and at time...",positive
"
      Useful if sometimes over the top.",positive
"
      Good, quick read with a sweet ending.",positive
"
      Okay I've read this entire trilogy in freaking 3 days!!! That's how good it is. The plot is just soooo good and yeah. I watched the movies as well today and they were really good. 100% recommending this book to everybody!!!",positive
"
      The life of a gorilla told by the gorilla. Fast paced and very interesting. It tugged at my heartstrings and I'm not a real animal person.",positive
"
      This author continues to simply stagger me with every single piece of work he delivers into my hands! As I am discovering is his particular talent, Mr. Witt has produced a thought-provoking look into the realities of the effects of human anger and resultant capacity for savagery. Woven throughout...",positive
"
      I really enjoyed this book from the beginning. It was fast paced without being rushed and the characters were each fleshed out and human. A great story involving search dogs which is a new topic for me which got my interest from the start. Easily read and entertaining.",positive
"
      <strong>Great book!</strong><br /><br />I thoroughly enjoyed this book. Sebastian Rudd is the man and hopefully there will be a sequel because I enjoyed this character.",positive
"
      El mejor final para una de las mejores series que he leido! <br /><br />",positive
"
      Ginger brought the reader a picture of Elvis the man, rather than the king. She loved him a great deal and made him happy in his last days. Touching and lovely to read.",positive
"
      So far I enjoy Tana French's books. she has great storylines. I love her style of writing. loved the ending of the book.",positive
"
      <strong>The Last Illusion </strong><br /><br />A wonderful Molly Murphy mystery. Bowen outdid herself on this one. The note at the end of the book reinforced my thoughts as I read that this story was based on some true facts. You will love this book.<br /><br />",positive
"
      The keep casino is known to the rich and famous so why is piper here? Because her 2 best friends are here to have a bachelorette party for esme to marry a man piper couldn't stand and since none of them gambled why stay in a casino? What ever her plan was to try and talk esme out of marrying the...",positive
"
      <strong>Great book</strong><br /><br />I just love his books about Stone Barrington. The characters are wonderful and Dino and Viv are great friends. Thank you for such great books Stuart Woods.",positive
"
      Hazel, in the seventeenth year of her life, is in many ways lucky to be alive. She has cancer which has devastated her lungs to the point in which she needs an oxygen tank to aid her breathing. She spends a lot of her time at home having left school years ago due to her condition. Thinking she ha...",positive
"
      When Fatima, a previously rowdy party-goer, turns up to school wearing a hijab her friends start to wonder what's going on. They aren't supportive and even her own mother is against the idea. From the beginning the only one really on her side is her twin brother Mohammed. With the backdrop of pos...",positive
"
      Once I remembered that Fannie Flagg's books are more like a series of connected short stories, I enjoyed this much more. This book is a more cohesive story than some of the others, but some of the chapters seem to have no point other than to be glimpses into a particular character's life. I did e...",positive
"
      <strong>A Romantic novel</strong><br /><br />This is a very romantic novel. It's really breathtaking. I recommend it to everyone who loves romanticism. Two thumbs up!",positive
"
      <strong>Entertaining</strong><br /><br />An entertaining insiders look at African tourist camps. This couple had experiences with staff, wild animals, and the bosses family border on the unbelievable.",positive
